id,plot,NDVI_d28,SAVI_d28,GNDVI_d28,MCARI1_d28,SR_d28,NDVI_d01,SAVI_d01,GNDVI_d01,MCARI1_d01,SR_d01,NDVI_d04,SAVI_d04,GNDVI_d04,MCARI1_d04,SR_d04,NDVI_d08,SAVI_d08,GNDVI_d08,MCARI1_d08,SR_d08,Class
30,162,0.788265898,1.182351331,0.68260567,16088.96253,9.341000766,0.773298329,1.159920277,0.71243285,28324.97565,8.497619529,0.745386744,1.118028388,0.68019508,13927.70514,7.335323161,0.802340205,1.203469405,0.722495141,19683.5047,9.491368928,0
31,163,0.760046045,1.140018453,0.671142455,14121.69149,8.311702102,0.761772179,1.142631728,0.709032621,27806.86002,8.051379265,0.746824655,1.120186984,0.680060937,14132.96383,7.311563711,0.783435165,1.175108419,0.706288684,17621.19398,8.720014502,0
32,172,0.786789368,1.180139352,0.667010801,17342.97805,9.4936726,0.767957547,1.151909824,0.702740529,29478.14048,8.390298707,0.760218864,1.140278024,0.69299981,15211.02272,8.057539568,0.787628261,1.181404368,0.70200447,20216.99934,8.970957946,0
33,183,0.785151808,1.177681031,0.69058304,16161.01118,9.518410007,0.769532507,1.154271768,0.724645151,28363.52012,8.481463501,0.722849192,1.084220302,0.6747686,12326.53756,6.490257604,0.711886411,1.067783756,0.671040027,13442.67552,6.123528008,1
34,181,0.80367556,1.205470284,0.704061854,17993.90098,10.27981952,0.788907999,1.183335361,0.733038995,28961.39502,9.164243703,0.751236569,1.126805635,0.690534099,14988.0033,7.497528725,0.715673687,1.073466543,0.666856013,14128.06946,6.237742788,1
35,164,0.763760828,1.145594107,0.661051863,15154.30589,8.305156372,0.746089141,1.119110343,0.687516459,30148.71305,7.465369701,0.735955177,1.103883476,0.670377822,14110.78547,6.978873724,0.772569458,1.158811607,0.696114047,17295.08865,8.236818108,0
36,182,0.804870789,1.207260419,0.69646268,17413.22192,10.3925696,0.781652769,1.172452497,0.720054373,29312.56728,8.929503932,0.740119059,1.110125532,0.680882251,13337.09052,7.09179961,0.725772953,1.088615652,0.66426432,14561.50962,6.455969381,1
37,174,0.820552973,1.230786501,0.695417739,19184.76293,10.79982019,0.803978099,1.205943923,0.732383927,36639.93661,9.869641031,0.775139802,1.162659999,0.713220712,15515.40716,8.408079507,0.816573783,1.224826448,0.728203577,23276.95995,10.37776304,0
38,171,0.785790911,1.178643253,0.676179284,17699.36966,9.243165549,0.787620226,1.181406461,0.714569883,32015.8157,9.046123312,0.782401418,1.173558917,0.700381399,18378.20495,8.742919109,0.775379691,1.163033455,0.704372145,20346.18796,8.615441349,0
39,184,0.787989901,1.181938275,0.695737569,16074.81613,9.345277363,0.772148716,1.158198088,0.725948215,30107.39871,8.456144082,0.703850477,1.055721338,0.670724108,11052.57197,6.023065055,0.710512339,1.065722374,0.669069839,13109.19728,6.06375523,1
40,173,0.815877879,1.22377262,0.69096939,18660.59758,10.68672728,0.803321223,1.204958423,0.727245721,34842.65994,9.853780525,0.783096022,1.174595074,0.716055763,16024.16407,8.751675961,0.806537589,1.20976666,0.727334952,19977.69722,9.738011502,0
41,191,0.659674091,0.989466709,0.570998835,11794.94615,4.959734436,0.666397235,0.999568894,0.618320763,19426.85782,5.059496237,0.670622953,1.005890443,0.594110956,12412.02165,5.186283031,0.678982168,1.018432608,0.612002396,13541.94079,5.402231149,0
42,211,0.774023063,1.160990954,0.677475616,16462.9743,8.773794834,0.743076257,1.114586694,0.700232044,24028.07055,7.286265258,0.722554164,1.08378423,0.667218722,13733.65064,6.512016845,0.694736773,1.042063723,0.647334364,13796.53737,5.712237286,1
43,203,0.825695562,1.238497509,0.716165487,17929.59988,11.26561639,0.791615836,1.187397813,0.732856824,30116.19456,9.159365752,0.731560428,1.097286666,0.667511342,12398.74121,6.649066038,0.699504281,1.049210283,0.650380298,12635.83173,5.762494943,1
44,194,0.699347111,1.048973396,0.592230835,12616.44088,6.029805621,0.691883654,1.037802491,0.62363598,25410.25467,5.78879303,0.683078924,1.024571447,0.603176142,12294.03188,5.53302101,0.714000087,1.070959784,0.632550498,15371.41006,6.312777837,0
